source_label,target_label,value
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Brazil'                   /     {'Quarrying of stone'                                                                                                                    ,242998360000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,"    {'Brazil'                   /     {'Plastics, basic'                                                                                                                       ",723841600000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Brazil'                   /     {'N-fertiliser'                                                                                                                          ,225740410000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Brazil'                   /     {'Manufacture of glass and glass products'                                                                                               ,619875300000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Brazil'                   /     {'Manufacture of basic iron and steel and of ferro-alloys and first products thereof'                                                    ,441476630000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Brazil'                   /     {'Re-processing of secondary steel into new steel'                                                                                       ,220952800000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Brazil'                   /     {'Aluminium production'                                                                                                                  ,1236420000000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,"    {'Brazil'                   /     {'Re-processing of secondary lead into new lead, zinc and tin'                                                                           ",2151637400000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Brazil'                   /     {'Re-processing of secondary copper into new copper'                                                                                     ,315905150000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Brazil'                   /     {'Casting of metals'                                                                                                                     ,921422760000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'India'                    /     {'Re-processing of secondary copper into new copper'                                                                                     ,266361960000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'India'                    /     {'Production of electricity by Geothermal'                                                                                               ,306669900000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Processing of meat cattle'                                                                                                             ,250499870000000.0
